Date,Description,Original Description,Category,Amount,Status
2025-11-17,"Armk Stadium","ARMK NRG STADIUM HH      HOUSTON      TX",Fast Food,-23.35,Posted
2025-11-17,"Great Wrap Katy Mills","GREAT WRAP KATY MILLS    KATY         TX",Fast Food,-21.14,Posted
2025-11-17,"CVS","CVS/PHARMACY #01 01996-  KATY         TX",Pharmacy,-19.47,Posted
2025-11-17,"Lava Coffee","TST*LAVA COFFEE          Katy         TX",Coffee Shops,-19.23,Posted
2025-11-17,"Asian Too","ASIAN TOO                KATY         TX",Food & Dining,-16.22,Posted
2025-11-17,"Chevron","CHEVRON 0168076          KATY         TX",Gas,-5.82,Posted
2025-11-14,"M&T Mortgage","M & T MORTGAGE   MTG PYT    ***********6182",Mortgage & Rent,-1558.50,Posted
2025-11-14,"Capital One","CAPITAL ONE      TRANSFER   ***********6F64",Transfer,-420.00,Posted
2025-11-14,"Firstmark","FIRSTMARK        PAYMENTS   ***********1304",Student Loan,-108.37,Posted
2025-11-14,"Adobe","Adobe Inc                800-8336687  CA",Electronics & Software,-22.99,Posted
2025-11-13,"Barclaycard","BARCLAYCARD US   CREDITCARD ***********3216",Credit Card Payment,-347.54,Posted
2025-11-13,"USAA Funds Transfer DB","USAA FUNDS TRANSFER DB",Transfer,-400.00,Posted
2025-11-13,"Shell","SHELL SERVICE STATION    KATY         TX",Gas,-46.69,Posted
2025-11-13,"McDonald's","MCDONALD'S F40992        KATY         TX",Fast Food,-27.57,Posted
2025-11-13,"Zelle Transfer to Brookshire Music Studio","Zelle: Brookshire Music Studio",Transfer,-25.00,Posted
2025-11-13,"McDonald's","MCDONALD'S F13012        KATY         TX",Fast Food,-20.00,Posted
2025-11-13,"Disney+","Roku for Disney Electro  816-2728107  DE",Television,-18.99,Posted
2025-11-13,"Glaze Doughnuts","SQ *GLAZE DOUGHNUTS      Katy         TX",Fast Food,-17.71,Posted
2025-11-13,"Alkami Technolog Payroll","ALKAMI TECHNOLOG PAYROLL    ***********0Y54",Paycheck,5448.69,Posted
2025-11-13,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,361.50,Posted
2025-11-12,"Little Hands Lea","LITTLE HANDS LEA 2813943443 ***********9249",Babysitter & Daycare,-329.80,Posted
2025-11-12,"Amazon","AMAZON MKTPL*BT4W147N2   Amzn.com/billWA",Shopping,-180.06,Posted
2025-11-12,"Starbucks","STARBUCKS 8007827282     800-782-7282 WA",Coffee Shops,-20.00,Posted
2025-11-12,"Ott Dropout","OTT* DROPOUT             DROPOUT.TV   CA",Television,-5.99,Posted
2025-11-12,"Shell","SHELL OIL 57541840906    KATY         TX",Gas,-5.40,Posted
2025-11-12,"CSC Service Works","CTLP*CSC SERVICEWORKS    MELVILLE     NY",Service & Parts,-1.50,Posted
2025-11-12,"Zelle Transfer from Micah Morrill","Zelle: Micah Morrill",Income,400.00,Posted
2025-11-10,"PayPal Purchase","PAYPAL           INST XFER  ***********LATE",Uncategorized,-130.75,Posted
2025-11-10,"Klarna","KLARNA* TICKPICK         KLARNA.COM   OH",Financial,-99.88,Posted
2025-11-10,"Amazon","AMAZON MKTPL*BT06H7841   Amzn.com/billWA",Shopping,-9.62,Posted
2025-11-10,"Amazon Digital Services","Amazon Digit*BT7SE6KA1   888-802-3080 WA",Electronics & Software,-6.99,Posted
2025-11-10,"Glaze Doughnuts","SQ *GLAZE DOUGHNUTS      Katy         TX",Fast Food,-6.39,Posted
2025-11-10,"Zelle Transfer from Micah Morrill","Zelle: Micah Morrill",Income,750.00,Posted
2025-11-07,"Waller Co Mud","WALLER CO MUD 37 FBS MDS WA ***********",Utilities,-108.00,Posted
2025-11-07,"BENEFEDS Dental and Vision","FEDVIP-BENEFEDS  FEDVIPPREM ***********4V01",Health & Fitness,-12.20,Posted
2025-11-07,"Official Check Request","OFFICIAL CHECK REQUEST",Check,-714.32,Posted
2025-11-07,"Uber Pending Transaction","UBER   * PENDING         uber.com     CA",Rental Car & Taxi,-52.93,Posted
2025-11-07,"Glaze Doughnuts","SQ *GLAZE DOUGHNUTS      Katy         TX",Fast Food,-11.61,Posted
2025-11-07,"Uber Trip","UBER   *TRIP HELP.UBER.COuber.com     CA",Rental Car & Taxi,-10.58,Posted
2025-11-06,"Peacock TV","Roku for Peacock TV LLC  816-2728107  DE",Television,-10.99,Posted
2025-11-06,"Amazon Digital Services","Amazon Digit*NK1ND86H2   888-802-3080 WA",Electronics & Software,-4.99,Posted
2025-11-05,"Kingdom Vending","CTLP*KINGDOM VENDING I   SPRING       TX",Fast Food,-3.00,Posted
2025-11-05,"Apple","APPLE COM                CUPERTINO    CA",Electronics & Software,-2.99,Posted
2025-11-05,"DC Dispute Temp Credit","DC DISPUTE TEMP CR",Reimbursement,130.12,Posted
2025-11-04,"Progressive","PROG COUNTY MUT  INS PREM   ***********icah",Financial,-236.33,Posted
2025-11-04,"Capital One Credit Card Payment","CAPITAL ONE      CRCARDPMT  ***********2177",Credit Card Payment,-59.00,Posted
2025-11-04,"Invest529 via Virginia529","INVEST529        PAYMENT    ***********1-55",Investments,-40.00,Posted
2025-11-04,"Invest529 via Virginia529","INVEST529        PAYMENT    ***********3-45",Investments,-30.00,Posted
2025-11-04,"Invest529 via Virginia529","INVEST529        PAYMENT    ***********1-19",Investments,-20.00,Posted
2025-11-04,"McDonald's","MCDONALD'S F40992        KATY         TX",Fast Food,-34.06,Posted
2025-11-04,"Adobe","Adobe Inc                800-8336687  CA",Electronics & Software,-29.99,Posted
2025-11-04,"McDonald's","MCDONALD'S F13012        KATY         TX",Fast Food,-13.00,Posted
2025-11-03,"Kia Motors Finance","KMF              KMFUSA.com ***********4937",Auto Payment,-527.73,Posted
2025-11-03,"Atlantic Energy Services","ATLANTIC ENERGY  SERVICES   ***********7245",Utilities,-274.73,Posted
2025-11-03,"The Home Depot","HOME DEPOT       AUTO PYMT  ***********0495",Home Improvement,-250.00,Posted
2025-11-03,"PayPal Pay in 4","PAYPAL           INST XFER  ***********YIN4",Shopping,-152.45,Posted
2025-11-03,"TD Bank","TD BANK          PAYMENT    ***********RILL",Transfer,-138.53,Posted
2025-11-03,"PayPal Purchase","PAYPAL           INST XFER  ***********LATE",Uncategorized,-130.75,Posted
2025-11-03,"Greenlight","GREENLIGHT       APP        ***********IGHT",Allowance,-20.00,Posted
2025-11-03,"iShine Express Car Wash & Detail","ISHINE KATY              KATY         TX",Service & Parts,-114.98,Posted
2025-11-03,"Pizza Hut","PIZZA HUT 040915         https://ipchaTX",Fast Food,-57.79,Posted
2025-11-03,"iShine Express Car Wash & Detail","ISHINE KATY              KATY         TX",Service & Parts,-28.99,Posted
2025-11-03,"Adobe","Adobe Inc                800-8336687  CA",Electronics & Software,-19.99,Posted
2025-11-03,"Roku","The Roku Channel         816-2728107  DE",Television,-12.99,Posted
2025-11-03,"Uber Pending Transaction","UBER   * PENDING         uber.com     CA",Rental Car & Taxi,-10.95,Posted
2025-11-03,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-10.66,Posted
2025-11-03,"Apple","APPLE.COM/BILL           866-712-7753 CA",Electronics & Software,-9.99,Posted
2025-11-03,"Uber Trip","UBER   *TRIP HELP.UBER.COuber.com     CA",Rental Car & Taxi,-8.96,Posted
2025-11-03,"Sonic","SONIC DRIVE-IN           KATY         TX",Fast Food,-3.45,Posted
2025-11-03,"Kingdom Vending","CTLP*KINGDOM VENDING I   SPRING       TX",Fast Food,-3.00,Posted
2025-11-03,"Kingdom Vending","CTLP*KINGDOM VENDING I   SPRING       TX",Fast Food,-3.00,Posted
2025-11-03,"Patreon","Patreon Patreon* Membershwww.patreon.cCA",Entertainment,-2.00,Posted
2025-10-31,"M&T Mortgage","M & T MORTGAGE   MTG PYT    ***********6182",Mortgage & Rent,-1558.50,Posted
2025-10-31,"Hyundai Motor Finance","HMF              HMFUSA.com ***********5062",Auto Payment,-869.76,Posted
2025-10-31,"Brookshire Brothers","BROOKSHIRE BROTHERS #9   KATY         TX",Groceries,-174.28,Posted
2025-10-31,"Eye Eye Doc","SQ *EYE EYE DOC          Katy         TX",Eyecare,-35.00,Posted
2025-10-31,"Starbucks","STARBUCKS 8007827282     800-782-7282 WA",Coffee Shops,-15.00,Posted
2025-10-31,"Pinwheel.com","PINWHEEL KID PHONE       PINWHEEL.COM TX",Bills & Utilities,-14.99,Posted
2025-10-31,"Adobe","Adobe Inc                800-8336687  CA",Electronics & Software,-11.99,Posted
2025-10-30,"Bubba's 33","BUBBA'S 33 #2854         KATY         TX",Restaurants,-127.92,Posted
2025-10-30,"Amazon","AMAZON MKTPL*NK0MP4O21   Amzn.com/billWA",Shopping,-71.82,Posted
2025-10-30,"CVS","CVS/PHARMACY #01 01996-  KATY         TX",Pharmacy,-22.70,Posted
2025-10-30,"PJ's Coffee","SQ *PJ'S COFFEE OF NEW   Katy         TX",Coffee Shops,-22.66,Posted
2025-10-30,"Amazon","AMAZON MKTPL*NK6OB7F81   Amzn.com/billWA",Shopping,-21.22,Posted
2025-10-30,"Prime Video","Prime Video Channels     amzn.com/billWA",Television,-12.99,Posted
2025-10-30,"Alkami Technolog Payroll","ALKAMI TECHNOLOG PAYROLL    ***********8Y54",Paycheck,5448.69,Posted
2025-10-29,"PayPal Purchase","PAYPAL           INST XFER  ***********.COM",Uncategorized,-24.99,Posted
2025-10-29,"Amazon","AMAZON MKTPL*N43UZ9YN0   Amzn.com/billWA",Shopping,-18.22,Posted
2025-10-28,"Little Hands Lea","LITTLE HANDS LEA 2813943443 ***********4450",Babysitter & Daycare,-220.50,Posted
2025-10-28,"PJ's Coffee","SQ *PJ'S COFFEE OF NEW   Katy         TX",Coffee Shops,-28.38,Posted
2025-10-28,"YouTube Premium","GOOGLE *YouTubePremium   Mountain ViewCA",Entertainment,-22.99,Posted
2025-10-28,"Sling TV","Sling TV                 Englewood    CO",Television,-5.35,Posted
2025-10-27,"PayPal Purchase","PAYPAL           INST XFER  ***********LATE",Uncategorized,-130.75,Posted
2025-10-27,"Sunnova Solar","SUNNOVA          SOLAR      ***********8596",Utilities,-125.24,Posted
2025-10-27,"PJ's Coffee","SQ *PJ'S COFFEE OF NEW   Katy         TX",Coffee Shops,-27.51,Posted
2025-10-27,"Spirit Halloween","SPIRIT HALLOWEEN 60219   609-703-8292 TX",Shopping,-19.47,Posted
2025-10-27,"Richmond Airport","RICHMOND AIRPORT         RICHMOND     VA",Fast Food,-14.80,Posted
2025-10-27,"Samsung","Samsung                  800-7267864  NJ",Electronics & Software,-13.40,Posted
2025-10-27,"In-N-Out Burger","IN-N-OUT KATY            KATY         TX",Fast Food,-10.66,Posted
2025-10-27,"The Local Cup","SQ *THE LOCAL CUP        MECHANICSVILLVA",Fast Food,-8.04,Posted
2025-10-27,"Glaze Doughnuts","SQ *GLAZE DOUGHNUTS      Katy         TX",Fast Food,-6.40,Posted
2025-10-27,"Apple","APPLE.COM/BILL           866-712-7753 CA",Electronics & Software,-4.98,Posted
2025-10-24,"Vmi Alumni Agencies","VMI ALUMNI AGENCIES      800-444-1839 VA",Gifts & Donations,-50.00,Posted
2025-10-24,"Zelle Transfer to Chelsea Meador","Zelle: Chelsea Meador",Transfer,-20.00,Posted
2025-10-24,"Dunkin'","DUNKIN #349313           MECHANICSVILLVA",Coffee Shops,-10.59,Posted
2025-10-24,"Glaze Doughnuts","SQ *GLAZE DOUGHNUTS      Katy         TX",Fast Food,-6.39,Posted
2025-10-24,"Shell","SHELL OIL 57541840906    KATY         TX",Gas,-4.64,Posted
2025-10-24,"Pokémon Go","Google Pokemon           650-2530000  CA",Electronics & Software,-2.99,Posted
2025-10-23,"Little Hands Lea","LITTLE HANDS LEA 2813943443 ***********8502",Babysitter & Daycare,-220.50,Posted
2025-10-23,"Chevron","CHEVRON 0387710          KATY         TX",Gas,-40.89,Posted
2025-10-23,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-21.34,Posted
2025-10-23,"TikTok Shop","TikTok Shop              CULVER CITY  CA",Shopping,-19.16,Posted
2025-10-23,"McDonald's","MCDONALD'S F40992        KATY         TX",Fast Food,-17.00,Posted
2025-10-22,"Meta Pay","METAPAY*Brandi Roberts   pay.fb.com   CA",Transfer,-50.00,Posted
2025-10-22,"Amazon","AMAZON MKTPL*NU2I11QT1   Amzn.com/billWA",Shopping,-27.87,Posted
2025-10-22,"McDonald's","MCDONALD'S F13012        KATY         TX",Fast Food,-26.00,Posted
2025-10-22,"Audible","Audible*NU3QT4221        Amzn.com/billNJ",Books,-14.95,Posted
2025-10-21,"USAA Credit Card","USAA CREDIT CARD PAYMENT    ***********2531",Credit Card Payment,-536.00,Posted
2025-10-21,"USAA Credit Card","USAA CREDIT CARD PAYMENT    ***********4284",Credit Card Payment,-282.00,Posted
2025-10-21,"Robinhood","ROBINHOOD        Funds      ***********7009",Transfer,-100.00,Posted
2025-10-21,"Bona Fitness and Wellne","BONA FITNESS AND WELLNE  713-977-2662 TX",Health & Fitness,-40.00,Posted
2025-10-21,"Human Rights Campaign","HUMAN RIGHTS CAMPAIGN    800-4980382  DC",Charity,-10.50,Posted
2025-10-21,"Kindle","Kindle Svcs*NM0WV99G2    888-802-3080 WA",Books,-1.99,Posted
2025-10-21,"TikTok Shop","TIKTOK SHOP              888-888-8888 CA",Shopping,51.23,Posted
2025-10-20,"PayPal Purchase","PAYPAL           INST XFER  ***********LATE",Uncategorized,-130.75,Posted
2025-10-20,"H-E-B","HEB CURBSIDE             800-432-3113 TX",Groceries,-152.87,Posted
2025-10-20,"Amazon","AMAZON MKTPL*NM5Z26SG2   Amzn.com/billWA",Shopping,-72.32,Posted
2025-10-20,"Apple","APPLE.COM/BILL           866-712-7753 CA",Electronics & Software,-41.95,Posted
2025-10-20,"Chevron","CHEVRON 0387710          KATY         TX",Gas,-41.12,Posted
2025-10-20,"Music & Arts","MUSIC&ARTS.COM           888-731-5396 MD",Shopping,-34.82,Posted
2025-10-20,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-34.31,Posted
2025-10-20,"Amazon","AMAZON MKTPL*NU02304K1   Amzn.com/billWA",Shopping,-22.19,Posted
2025-10-20,"McDonald's","MCDONALD'S F13012        KATY         TX",Fast Food,-21.00,Posted
2025-10-20,"TikTok Shop","TikTok Shop TikTok Shop  shop.tiktok.cCA",Shopping,-14.96,Posted
2025-10-20,"Checkout","CHECKOUT #74             KATY         TX",Gas,-11.00,Posted
2025-10-20,"Amazon","AMAZON MKTPL*NU0AT0ZT0   Amzn.com/billWA",Shopping,-10.71,Posted
2025-10-20,"Amazon","AMAZON MKTPL*NM3H93WR1   Amzn.com/billWA",Shopping,-7.50,Posted
2025-10-17,"Interest Paid","INTEREST PAID",Interest Income,0.03,Posted
2025-10-17,"PayPal Pay in 4","PAYPAL           INST XFER  ***********YIN4",Shopping,-152.41,Posted
2025-10-17,"Fidium Fiber Cy","FIDIUM FIBER     BILLPAY    ***********CY P",Utilities,-101.45,Posted
2025-10-17,"Amazon","AMAZON MKTPL*NM0406RL1   Amzn.com/billWA",Shopping,-46.85,Posted
2025-10-17,"Sunterra Liquors","Sunterra Liquors         Pearland     TX",Alcohol & Bars,-42.89,Posted
2025-10-16,"Checkout","CHECKOUT #74             KATY         TX",Gas,-45.69,Posted
2025-10-16,"PJ's Coffee","SQ *PJ'S COFFEE OF NEW   Katy         TX",Coffee Shops,-20.67,Posted
2025-10-15,"Capital One","CAPITAL ONE      TRANSFER   ***********7359",Transfer,-420.00,Posted
2025-10-15,"Little Hands Lea","LITTLE HANDS LEA 2813943443 ***********6847",Babysitter & Daycare,-245.00,Posted
2025-10-15,"USAA Funds Transfer DB","USAA FUNDS TRANSFER DB",Transfer,-1200.00,Posted
2025-10-15,"Checkout","CHECKOUT #74             KATY         TX",Gas,-8.21,Posted
2025-10-15,"Alkami Technolog Payroll","ALKAMI TECHNOLOG PAYROLL    ***********0Y54",Paycheck,5448.70,Posted
2025-10-14,"M&T Mortgage","M & T MORTGAGE   MTG PYT    ***********6182",Mortgage & Rent,-3117.00,Posted
2025-10-14,"Barclaycard","BARCLAYCARD US   CREDITCARD ***********1682",Credit Card Payment,-360.56,Posted
2025-10-14,"Citi Credit Card Payment","CITI AUTOPAY     PAYMENT    ***********0071",Credit Card Payment,-300.00,Posted
2025-10-14,"PayPal Purchase","PAYPAL           INST XFER  ***********LATE",Uncategorized,-130.75,Posted
2025-10-14,"Firstmark","FIRSTMARK        PAYMENTS   ***********1304",Student Loan,-109.16,Posted
2025-10-14,"PayPal Purchase","PAYPAL           INST XFER  ***********LATE",Uncategorized,-17.94,Posted
2025-10-14,"Mint Mobile","MINT MOBILE              800-683-7392 CA",Mobile Phone,-97.08,Posted
2025-10-14,"DoorDash","DD *DOORDASH ROYALBIRY   855-973-1040 CA",Food & Dining,-78.72,Posted
2025-10-14,"Xbox","MICROSOFT*XBOX GAME PA   REDMOND      WA",Electronics & Software,-59.99,Posted
2025-10-14,"H-E-B","HEB CURBSIDE             800-432-3113 TX",Groceries,-45.78,Posted
2025-10-14,"Chevron","CHEVRON 0387710          KATY         TX",Gas,-43.90,Posted
2025-10-14,"Brookshire Brothers","BROOKSHIRE BROS 609      KATY         TX",Gas,-42.36,Posted
2025-10-14,"Brookshire Brothers","BROOKSHIRE BROTHERS #9   KATY         TX",Groceries,-39.57,Posted
2025-10-14,"Amazon","AMAZON MKTPL*NF4I95631   Amzn.com/billWA",Shopping,-37.53,Posted
2025-10-14,"Kilwins Chocolate","KILWINS CHOCOLATE AND I  KATY         TX",Groceries,-37.31,Posted
2025-10-14,"TikTok Shop","TikTok Shop              https://shop.CA",Shopping,-36.68,Posted
2025-10-14,"Brookshire Brothers","BROOKSHIRE BROTHERS #9   KATY         TX",Groceries,-35.00,Posted
2025-10-14,"Chick-fil-A via DoorDash","DD *DOORDASHCHICK-FIL-   855-973-1040 CA",Food & Dining,-30.00,Posted
2025-10-14,"H&M","H&M Fashion USA Inc      www2.hm.com/eNJ",Clothing,-28.12,Posted
2025-10-14,"Adobe","Adobe Inc                800-8336687  CA",Electronics & Software,-22.99,Posted
2025-10-14,"Claire's","CLAIRE'S #3487           KATY         TX",Clothing,-21.62,Posted
2025-10-14,"MINISO","MINISO KATY MILLS        KATY         TX",Gift,-18.84,Posted
2025-10-14,"Apple","APPLE.COM/BILL           866-712-7753 CA",Electronics & Software,-16.98,Posted
2025-10-14,"Disney+","Roku for Disney Electro  816-2728107  DE",Television,-15.99,Posted
2025-10-14,"Heritage Amusements Katy","SQ *HERITAGE AMUSEMENTS  Katy         TX",Entertainment,-10.00,Posted
2025-10-14,"Ott Dropout","OTT* DROPOUT             DROPOUT.TV   CA",Television,-5.99,Posted
2025-10-14,"Zelle Transfer from Micah Morrill","Zelle: Micah Morrill",Income,1200.00,Posted
2025-10-14,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,361.50,Posted
2025-10-10,"Katy","MMS-MHHS-KATY HSP        KATY         TX",Fast Food,-10.54,Posted
2025-10-10,"Amazon Digital Services","Amazon Digit*NF25C8VW1   888-802-3080 WA",Electronics & Software,-6.99,Posted
2025-10-10,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,361.50,Posted
2025-10-09,"Klarna","Klarna*TickPick          Columbus     OH",Financial,-99.88,Posted
2025-10-09,"McDonald's","MCDONALD'S F40992        KATY         TX",Fast Food,-39.35,Posted
2025-10-09,"McDonald's","MCDONALD'S F13012        KATY         TX",Fast Food,-20.00,Posted
2025-10-09,"H&M","HM.COM                   855-4667467  NY",Clothing,-17.30,Posted
2025-10-08,"McDonald's","MCDONALD'S F40992        KATY         TX",Fast Food,-18.03,Posted
2025-10-07,"Little Hands Lea","LITTLE HANDS LEA 2813943443 ***********9540",Babysitter & Daycare,-245.00,Posted
2025-10-07,"Waller Co Mud","WALLER CO MUD 37 FBS MDS WA ***********",Utilities,-108.00,Posted
2025-10-07,"BENEFEDS Dental and Vision","FEDVIP-BENEFEDS  FEDVIPPREM ***********4V01",Health & Fitness,-12.20,Posted
2025-10-07,"H-E-B","HEB CURBSIDE             800-432-3113 TX",Groceries,-90.36,Posted
2025-10-07,"Quince","ONEQUINCE* Q12759489     QUINCE.COM   CA",Clothing,-53.80,Posted
2025-10-07,"Amazon","Amazon.com*NF4NM4A70     Amzn.com/billWA",Shopping,-7.57,Posted
2025-10-07,"Shell","SHELL OIL 57541840906    KATY         TX",Gas,-5.94,Posted
2025-10-06,"Progressive","PROG COUNTY MUT  INS PREM   ***********icah",Financial,-236.39,Posted
2025-10-06,"PayPal Purchase","PAYPAL           INST XFER  ***********LATE",Uncategorized,-130.75,Posted
2025-10-06,"Capital One Credit Card Payment","CAPITAL ONE      CRCARDPMT  ***********DF9B",Credit Card Payment,-54.00,Posted
2025-10-06,"TD Bank","TD BANK          PAYMENT    ***********RILL",Transfer,-44.21,Posted
2025-10-06,"Invest529 via Virginia529","INVEST529        PAYMENT    ***********3-41",Investments,-30.00,Posted
2025-10-06,"Harris County Toll Road Authority","HCTRA EFT        EZTAGSTPPD ***********4004",Auto & Transport,-10.00,Posted
2025-10-06,"Cash App Transfer to Bree Ricotta","CASH APP*BREE RICOTTA    Oakland      CA",Transfer,-60.00,Posted
2025-10-06,"AMC Theatres","0148 AMC BAR KATY MILLS  KATY         TX",Movies & Dvds,-36.15,Posted
2025-10-06,"Asian Too","ASIAN TOO                KATY         TX",Food & Dining,-31.35,Posted
2025-10-06,"Adobe","Adobe Inc                800-8336687  CA",Electronics & Software,-29.99,Posted
2025-10-06,"Shein","SHEIN.COM                844-8022500  NY",Clothing,-23.57,Posted
2025-10-06,"McDonald's","MCDONALD'S F13012        KATY         TX",Fast Food,-19.14,Posted
2025-10-06,"Glaze Doughnuts","SQ *GLAZE DOUGHNUTS      Katy         TX",Fast Food,-11.80,Posted
2025-10-06,"Peacock TV","Roku for Peacock TV LLC  816-2728107  DE",Television,-10.99,Posted
2025-10-06,"Sonic","SONIC DRIVE IN #1140     KATY         TX",Fast Food,-9.42,Posted
2025-10-06,"Apple","APPLE.COM/BILL           866-712-7753 CA",Electronics & Software,-5.99,Posted
2025-10-06,"Sling TV","Sling TV                 Englewood    CO",Television,-5.35,Posted
2025-10-06,"Amazon Digital Services","Amazon Digit*NF6W844R0   888-802-3080 WA",Electronics & Software,-4.99,Posted
2025-10-06,"Apple","APPLE.COM/BILL           866-712-7753 CA",Electronics & Software,-2.99,Posted
2025-10-03,"Kia Motors Finance","KMF              KMFUSA.com ***********4937",Auto Payment,-527.73,Posted
2025-10-03,"Atlantic Energy Services","ATLANTIC ENERGY  SERVICES   ***********6748",Utilities,-308.77,Posted
2025-10-03,"The Home Depot","HOME DEPOT       AUTO PYMT  ***********0079",Home Improvement,-250.00,Posted
2025-10-03,"Invest529 via Virginia529","INVEST529        PAYMENT    ***********1-51",Investments,-40.00,Posted
2025-10-03,"Children Pajamas Brampton","Children Pajamas         Brampton     ON",Clothing,-130.12,Posted
2025-10-03,"McDonald's","MCDONALD'S F13012        KATY         TX",Fast Food,-35.67,Posted
2025-10-02,"Invest529 via Virginia529","INVEST529        PAYMENT    ***********1-17",Investments,-20.00,Posted
2025-10-02,"Greenlight","GREENLIGHT       APP        ***********IGHT",Allowance,-20.00,Posted
2025-10-02,"H-E-B","HEB CURBSIDE             800-432-3113 TX",Groceries,-156.57,Posted
2025-10-02,"Amazon","Amazon.com*NJ62M8U11     Amzn.com/billWA",Shopping,-101.88,Posted
2025-10-02,"PJ's Coffee","SQ *PJ'S COFFEE OF NEW   Katy         TX",Coffee Shops,-27.32,Posted
2025-10-02,"Amazon","AMAZON MKTPL*NJ4RS1B42   Amzn.com/billWA",Shopping,-26.40,Posted
2025-10-02,"ThriftBooks","THRIFT BOOKS GLOBAL  LL  2532752241   WA",Books,-20.64,Posted
2025-10-02,"Roku","The Roku Channel         816-2728107  DE",Television,-12.99,Posted
2025-10-02,"Apple","APPLE.COM/BILL           866-712-7753 CA",Electronics & Software,-9.99,Posted
2025-10-02,"Amazon","Amazon.com*NJ0NT2IJ1     Amzn.com/billWA",Shopping,-9.64,Posted
2025-10-02,"Glaze Doughnuts","SQ *GLAZE DOUGHNUTS      Katy         TX",Fast Food,-5.33,Posted
2025-10-01,"Hyundai Motor Finance","HMF              HMFUSA.com ***********5062",Auto Payment,-869.76,Posted
2025-10-01,"PayPal Pay in 4","PAYPAL           INST XFER  ***********YIN4",Shopping,-152.41,Posted
2025-10-01,"Adobe","Adobe Inc                800-8336687  CA",Electronics & Software,-19.99,Posted
2025-10-01,"In-N-Out Burger","IN-N-OUT KATY            KATY         TX",Fast Food,-19.49,Posted
2025-10-01,"McDonald's","MCDONALD'S F13012        KATY         TX",Fast Food,-5.82,Posted
2025-10-01,"Patreon","Patreon Patreon* Membershwww.patreon.cCA",Entertainment,-2.00,Posted
2025-09-30,"Little Hands Lea","LITTLE HANDS LEA 2813943443 ***********1899",Babysitter & Daycare,-245.00,Posted
2025-09-30,"Temu","TEMU.COM                 130-248-0611 MA",Shopping,-82.60,Posted
2025-09-30,"Crust Pizza Co.","TST* CRUST PIZZA CO - K  KATY         TX",Restaurants,-59.34,Posted
2025-09-30,"H-E-B","H-E-B #797               KATY         TX",Groceries,-43.00,Posted
2025-09-30,"Pinwheel.com","PINWHEEL KID PHONE       PINWHEEL.COM TX",Bills & Utilities,-14.99,Posted
2025-09-30,"PJ's Coffee","SQ *PJ'S COFFEE OF NEW   gosq.com     TX",Coffee Shops,-14.58,Posted
2025-09-30,"Adobe","Adobe Inc                800-8336687  CA",Electronics & Software,-11.99,Posted
2025-09-29,"PayPal Purchase","PAYPAL           INST XFER  ***********LATE",Uncategorized,-112.79,Posted
2025-09-29,"CenterPoint Energy","CPENERGY ENTEX   ENT ACH DR ***********7098",Utilities,-50.00,Posted
2025-09-29,"PayPal Purchase","PAYPAL           INST XFER  ***********.COM",Uncategorized,-24.99,Posted
2025-09-29,"Checkout","CHECKOUT #74             KATY         TX",Gas,-38.49,Posted
2025-09-29,"PJ's Coffee","SQ *PJ'S COFFEE OF NEW   Katy         TX",Coffee Shops,-27.51,Posted
2025-09-29,"YouTube Premium","GOOGLE *YouTubePremium   Mountain ViewCA",Entertainment,-22.99,Posted
2025-09-29,"Amazon","Amazon.com*6G5P90133     Amzn.com/billWA",Shopping,-22.79,Posted
2025-09-29,"Samsung","Samsung                  800-7267864  NJ",Electronics & Software,-13.40,Posted
2025-09-29,"MTA OMNY","MTA*NYCT PAYGO           NEW YORK     NY",Public Transportation,-2.90,Posted
2025-09-29,"Alkami Technolog Payroll","ALKAMI TECHNOLOG PAYROLL    ***********3Y54",Paycheck,5448.69,Posted
2025-09-26,"Sunnova Solar","SUNNOVA          SOLAR      ***********5980",Utilities,-125.24,Posted
2025-09-26,"CiCi's Pizza","CICIS PIZZA #724 ARCADE  KATY         TX",Restaurants,-50.00,Posted
2025-09-26,"CiCi's Pizza","TIL*PL CICIS PIZZA 724   KATY         TX",Restaurants,-32.92,Posted
2025-09-26,"Apple","APPLE.COM/BILL           866-712-7753 CA",Electronics & Software,-20.96,Posted
2025-09-26,"Glaze Doughnuts","SQ *GLAZE DOUGHNUTS      Katy         TX",Fast Food,-6.33,Posted
2025-09-25,"Uber Pending Transaction","UBER   * PENDING         uber.com     CA",Rental Car & Taxi,-54.93,Posted
2025-09-25,"Chevron","KATY CHEVRON INC         KATY         TX",Gas,-51.24,Posted
2025-09-25,"McDonald's","MCDONALD'S F13012        KATY         TX",Fast Food,-42.00,Posted
2025-09-24,"Checkout","CHECKOUT #74             KATY         TX",Gas,-46.02,Posted
2025-09-24,"Pokémon Go","Google Pokemon           650-2530000  CA",Electronics & Software,-2.99,Posted
2025-09-23,"Little Hands Lea","LITTLE HANDS LEA 2813943443 ***********9731",Babysitter & Daycare,-245.00,Posted
